,AnalysisName,CatalogTypeCode,AnalysisID,YearID,EventID,ModelCode,Peril,ReTreatySID,ProgramID,ppnp,CompanyName,100shareloss,grloss,ntloss,finalnetloss100,finalnetgrloss,finalnetnetloss,TreatyID,cnty_cd
255156,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6442,174260,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,9898559.34320776,1583769.49491324,1385798.30804909,8859210.61217095,1417473.69794735,1240289.48570393,371333_1,
255214,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6444,174306,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,12220539.8827056,1955286.3812329,1710875.58357879,10937383.1950215,1749981.31120344,1531233.64730301,371333_1,
255396,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6450,174475,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,3319375.56183834,531100.089894134,464712.578657368,2970841.12784531,475334.58045525,415917.757898344,371333_1,
255671,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6463,174809,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,4029563.65939561,644730.185503297,564138.912315385,3606459.47515907,577033.516025451,504904.326522269,371333_1,
255704,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6465,174854,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,11465414.1544686,1834466.26471498,1605157.98162561,10261545.6682494,1641847.30691991,1436616.39355492,371333_1,
256244,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6492,175575,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,3484098.92677496,557455.828283994,487773.849748495,3118268.53946359,498922.966314175,436557.595524903,371333_1,
256275,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6492,175576,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2546168.02203993,407386.883526389,356463.52308559,2278820.37972574,364611.260756118,319034.853161603,371333_1,
256601,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6504,175947,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
256602,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6504,175947,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,20000000.0,3200000.0,2800000.0,19250000.0,3080000.0,2695000.0,371333_2,
256652,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6507,176022,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,4148797.17413469,663807.54786155,580831.604378856,3713173.47085054,594107.755336087,519844.285919076,371333_1,
256693,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6510,176102,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,1703336.38629477,272533.821807163,238467.094081268,1524486.06573382,243917.770517411,213428.049202735,371333_1,
256748,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6512,176158,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,12998083.4179208,2079693.34686732,1819731.67850891,11633284.6590391,1861325.54544626,1628659.85226547,371333_1,
256778,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6513,176181,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,4371488.14095175,699438.102552279,612008.339733244,3912481.88615181,625997.10178429,547747.464061254,371333_1,
256854,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6515,176247,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2039084.2411218,326253.478579488,285471.793757052,1824980.39580401,291996.863328642,255497.255412561,371333_1,
256921,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6515,176250,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,3123743.31313052,499798.930100884,437324.063838274,2795750.26525182,447320.042440291,391405.037135255,371333_1,
257020,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6517,176300,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,7188601.42997014,1150176.22879522,1006404.20019582,6652898.6073833,1064463.77718133,931405.805033662,371333_1,
257232,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6524,176493,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,15000000.0,2400000.0,2100000.0,13425000.0,2148000.0,1879500.0,371333_1,
257233,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6524,176493,27,TC,8451,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,19455062.0270911,3112809.92433458,2723708.68379276,18725497.2010752,2996079.55217204,2621569.60815053,371333_2,
257594,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6538,176836,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,480286.315070383,76845.8104112613,67240.0841098537,429856.251987993,68777.0003180789,60179.875278319,371333_1,
257699,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,773,176933,22,ST,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,2687088.5272601,429934.164361616,376192.393816414,2404944.23189779,384791.077103646,336692.192465691,371333_1,
257711,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6541,176946,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,88864.7614952028,14218.3618392324,12441.0666093284,79533.9615382065,12725.433846113,11134.7546153489,371333_1,
257823,202507_US_TTY - Loss Analysis_????only_Area,STC,6489,6546,177062,27,TC,8450,202501_JEWELERS MUTUAL - PROPERTY CAT XOL,NP,JEWELERS MUTUAL,9325392.24523713,1492062.75923794,1305554.9143332,8346226.05948723,1335396.16951796,1168471.64832821,371333_1,
